id,tokens,slots,intent
3084,Make me a reservation somewhere near here for me and my step brother by adeline's apartment,O O O O O B-spatial_relation O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-poi I-poi,BookRestaurant
3085,Book a reservation for a trentino restaurant in Kansas,O O O O O B-cuisine B-restaurant_type O B-state,BookRestaurant
3086,"Book The Crown at Whitebrook in the Solomon Islands for Dec the twenty-third, 2029",O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O O B-country I-country O B-timeRange I-timeRange I-timeRange I-timeRange,BookRestaurant
3087,"i'd like reservations for two at a pizzeria , 22 weeks from now",O O O O B-party_size_number O O B-restaurant_type O B-timeRange I-timeRange I-timeRange I-timeRange,BookRestaurant
3088,Please book me a table for next week at a top-rated restaurant,O O O O O O B-timeRange I-timeRange O O B-sort B-restaurant_type,BookRestaurant
3089,restaurant In Zimbabwe that is brasserie and has parking,B-restaurant_type O B-country O O B-restaurant_type O O B-facility,BookRestaurant
3090,need to book a table in Ludden,O O O O O O B-city,BookRestaurant
3091,book a spot for six at Bear Hotel in 5 seconds,O O O O B-party_size_number O B-restaurant_name I-restaurant_name B-timeRange I-timeRange I-timeRange,BookRestaurant
3092,I need a reservation for a pizzeria nearby Vigus,O O O O O O B-restaurant_type B-spatial_relation B-city,BookRestaurant
3093,book a taverna that serves vichyssoise within walking distance in OH,O O B-restaurant_type O O B-served_dish B-spatial_relation I-spatial_relation I-spatial_relation O B-state,BookRestaurant
3094,I want to reserve a gastropub that has a spa,O O O O O B-restaurant_type O O O B-facility,BookRestaurant
3095,I would like to book a restaurant in Singapore for nine in 19 hours and 1 second,O O O O O O B-restaurant_type O B-country O B-party_size_number B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange,BookRestaurant
3096,book a spot for ten in Upper Marlboro PR,O O O O B-party_size_number O B-city I-city B-state,BookRestaurant
3097,book a spot at a pizza place nine weeks from now in Wisconsin,O O O O O B-served_dish O B-timeRange I-timeRange I-timeRange I-timeRange O B-state,BookRestaurant
3098,Book a table at a brasserie type restaurant that serves jain for a party of 8,O O O O O B-restaurant_type O B-restaurant_type O O B-cuisine O O O O B-party_size_number,BookRestaurant
3099,I'd like to eat at the best southeastern brazilian restaurant with five people,O O O O O O B-sort B-cuisine I-cuisine B-restaurant_type O B-party_size_number O,BookRestaurant
3100,I need a reservation for a brasserie that serves ankimo in PW,O O O O O O B-restaurant_type O O B-served_dish O B-state,BookRestaurant
3101,Would like to book a restaurant the last day of sukkot for lee and ines,O O O O O B-restaurant_type O B-timeRange I-timeRange I-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description,BookRestaurant
3102,I want a restaurant reservation for a party of 8 at a vegetarian tea house,O O O B-restaurant_type O O O O O B-party_size_number O O B-cuisine B-restaurant_type I-restaurant_type,BookRestaurant
3103,book a table for 2 at a highly rated restaurant within walking distance of taverna OK,O O O O B-party_size_number O O B-sort I-sort B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation O B-restaurant_type B-state,BookRestaurant
3104,"Book a table for nine people at a brasserie on Jan 16, 2034",O O O O B-party_size_number O O O B-restaurant_type O B-timeRange I-timeRange I-timeRange,BookRestaurant
3105,Book a restaurant for a meal for 4 people,O O B-restaurant_type O O B-timeRange O B-party_size_number O,BookRestaurant
3106,"book a table for Sep the second, 2020 at a highly rated place for me and my baby at a joint serving cambodian",O O O O B-timeRange I-timeRange I-timeRange I-timeRange O O B-sort I-sort O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-cuisine,BookRestaurant
3107,"Book a restaurant in Nebraska on january 25, 2034 for me and my mommy",O O B-restaurant_type O B-state O B-timeRange I-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description I-party_size_description,BookRestaurant
3108,"Please book me a table for 6 people at Top of the Mark in Raleigh Hills , Kentucky",O O O O O O B-party_size_number O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-city I-city O B-state,BookRestaurant
3109,Book a restaurant for eight people in six years,O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange I-timeRange,BookRestaurant
3110,I want to book a churrascaria restaurant for ten people,O O O O O B-restaurant_type O O B-party_size_number O,BookRestaurant
3111,I need a table for 8 people at a highly rated pub that serves umbrian cuisine,O O O O O B-party_size_number O O O B-sort I-sort B-restaurant_type O O B-cuisine O,BookRestaurant
3112,I want to book a restaurant for four around Zapata,O O O O O B-restaurant_type O B-party_size_number B-spatial_relation B-city,BookRestaurant
3113,I need to take three people to eat,O O O O B-party_size_number O O O,BookRestaurant
3114,my step aunt and I want to go cheese fries at the tavern,B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O B-served_dish I-served_dish O O B-restaurant_type,BookRestaurant
3115,Book a highly rated northeast indian brasserie in Kenova for nannie and I at 14:41,O O B-sort I-sort B-cuisine I-cuisine B-restaurant_type O B-city O B-party_size_description I-party_size_description I-party_size_description O B-timeRange,BookRestaurant
3116,I would like to book a restaurant for two in 42 weeks from now in Wagram,O O O O O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange O B-city,BookRestaurant
3117,"I'd like a table for three at Black Rapids Roadhouse on February 24th, 2039",O O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange,BookRestaurant
3118,book a spot for 3 at the pizza place,O O O O B-party_size_number O O B-served_dish O,BookRestaurant
3119,Book me a reservation for 10 in Oman,O O O O O B-party_size_number O B-country,BookRestaurant
3120,Make a reservation for four at a pub in Sugarville,O O O O B-party_size_number O O B-restaurant_type O B-city,BookRestaurant
3121,my colleagues and I would like a restaurant in Snow Lake,B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O B-restaurant_type O B-city I-city,BookRestaurant
3122,book a spot for one at a bar in Seabrook,O O O O B-party_size_number O O B-restaurant_type O B-city,BookRestaurant
3123,book a restaurant for six in MP,O O B-restaurant_type O B-party_size_number O B-state,BookRestaurant
3124,I need a pub with a smoking room in Ucolo reserved,O O O B-restaurant_type O O B-facility I-facility O B-city O,BookRestaurant
3125,I want to go to Antigua and Barbuda and eat at a table for 4,O O O O O B-country I-country I-country O O O O O O B-party_size_number,BookRestaurant
3126,"me and terrie need a table at a bar in Hypoluxo , UT",B-party_size_description I-party_size_description I-party_size_description O O O O O B-restaurant_type O B-city O B-state,BookRestaurant
3127,I want to book a meal at a restaurant that searves kouglof,O O O O O B-timeRange O O B-restaurant_type O O B-served_dish,BookRestaurant
3128,I need a reservation for ten at a tavern in West Virginia,O O O O O B-party_size_number O O B-restaurant_type O B-state I-state,BookRestaurant
3129,Book a restaurant for 9 at 00:37 PM,O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange,BookRestaurant
3130,book a spot for 9 in New Mexico,O O O O B-party_size_number O B-state I-state,BookRestaurant
3131,I want to book a far brasserie that serves minestrone in PA for a party of 9 in 15 minutes,O O O O O B-spatial_relation B-restaurant_type O O B-served_dish O B-state O O O O B-party_size_number O B-timeRange I-timeRange,BookRestaurant
3132,Book a food truck that is highly rated in Honduras,O O B-restaurant_type I-restaurant_type O O B-sort I-sort O B-country,BookRestaurant
3133,Need to book a restaurant in PA in the city of Old Orchard Beach,O O O O B-restaurant_type O B-state O O O O B-city I-city I-city,BookRestaurant
3134,Find me a coffeehouse for nine in Indiana that has access to a pool,O O O B-restaurant_type O B-party_size_number O B-state O O O O O B-facility,BookRestaurant
3135,I want a table for eight in Yakima Rhode Island,O O O O O B-party_size_number O B-city B-state I-state,BookRestaurant
3136,Book a joint restaurant for four with an outdoor area within the same area as Borough de Denali,O O B-restaurant_type I-restaurant_type O B-party_size_number O O B-facility B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi I-poi,BookRestaurant
3137,Book a taverna that serves bengali for six at five,O O B-restaurant_type O O B-cuisine O B-party_size_number O B-timeRange,BookRestaurant
3138,I want to book a popular tyrolean steakhouse in Madison Park WA in 1 hour nine minutes and one second,O O O O O B-sort B-cuisine B-restaurant_type O B-city I-city B-state B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange,BookRestaurant
3139,Give me a top-rated restaurant that's eastern european,O O O B-sort B-restaurant_type O B-cuisine I-cuisine,BookRestaurant
3140,I'd like to eat at a popular brasserie in Chile with a party of 5,O O O O O O B-sort B-restaurant_type O B-country O O O O B-party_size_number,BookRestaurant
3141,Can you book a table for a party of 6 close to DeKalb Av,O O O O O O O O O B-party_size_number B-spatial_relation O B-poi I-poi,BookRestaurant
3142,I need to book a restaurant at supper time in IL,O O O O O B-restaurant_type O B-timeRange O O B-state,BookRestaurant
3143,need a table at Colony in Sri Lanka next year,O O O O B-restaurant_name O B-country I-country B-timeRange I-timeRange,BookRestaurant
3144,Find a table for five at Harveys in De Berry ID on April the 10th,O O O O B-party_size_number O B-restaurant_name O B-city I-city B-state O B-timeRange I-timeRange I-timeRange,BookRestaurant
3145,Book a table for January the twentieth at a place far from your daughter's campus,O O O O B-timeRange I-timeRange I-timeRange O O O B-spatial_relation O B-poi I-poi I-poi,BookRestaurant
3146,I'd like to book 4 seats at a restaurant,O O O O B-party_size_number O O O B-restaurant_type,BookRestaurant
3147,I want to book a restaurant for supper in Kellerton for 2,O O O O O B-restaurant_type O B-timeRange O B-city O B-party_size_number,BookRestaurant
3148,book a table for ten people,O O O O B-party_size_number O,BookRestaurant
3149,"I need reservations for a party of 3 on all souls' day in Temperance , North Dakota",O O O O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange O B-city O B-state I-state,BookRestaurant
3150,Book a restaurant in Geddes on march the twenty-seventh for me and my husband,O O B-restaurant_type O B-city O B-timeRange I-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description I-party_size_description,BookRestaurant
3151,"21 weeks from now elinor, crystal turner and nita want to eat german food at a bar in distant California",B-timeRange I-timeRange I-timeRange I-timeRange B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O B-cuisine O O O B-restaurant_type O B-spatial_relation B-state,BookRestaurant
3152,book a sushis serving restaurant in Uzbekistan,O O B-served_dish O B-restaurant_type O B-country,BookRestaurant
3153,I need to book a table at brasserie for 10 that is highly rated in Kentucky,O O O O O O O B-restaurant_type O B-party_size_number O O B-sort I-sort O B-state,BookRestaurant
3154,I need to book a table at a place around here in PA for a party of two,O O O O O O O O O B-spatial_relation O O B-state O O O O B-party_size_number,BookRestaurant
3155,"I need to book a restaurant in Fork Mountain , SC for valarie, mari and I",O O O O O B-restaurant_type O B-city I-city O B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description,BookRestaurant
3156,Book a restaurant this year for party of 2,O O B-restaurant_type B-timeRange I-timeRange O O O B-party_size_number,BookRestaurant
3157,I want to eat at a brasserie that has internet near Greenland at elevenses,O O O O O O B-restaurant_type O O B-facility B-spatial_relation B-city O B-timeRange,BookRestaurant
3158,restaurant in Watauga for me and my aunt,B-restaurant_type O B-city O B-party_size_description I-party_size_description I-party_size_description I-party_size_description,BookRestaurant
3159,Make me a reservation in TN somewhere nearby for a party of 4,O O O O O B-state O B-spatial_relation O O O O B-party_size_number,BookRestaurant
3160,Book reservations at a faraway restaurant in Newtown at meal time,O O O O B-spatial_relation B-restaurant_type O B-poi O B-timeRange O,BookRestaurant
3161,"I'm going to Herkimer and want some liver and onions and I need a table for bessie, antonia and lisa at a cafe around 10 AM",O O O B-city O O O B-served_dish I-served_dish I-served_dish O O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-timeRange I-timeRange,BookRestaurant
3162,2 of us want to eat at a restaurant that serves meatballs in VT,B-party_size_number O O O O O O O B-restaurant_type O O B-served_dish O B-state,BookRestaurant
3163,Book a restaurant for ten in OK,O O B-restaurant_type O B-party_size_number O B-state,BookRestaurant
3164,Book a restaurant for four on october 9 in Maine,O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange O B-state,BookRestaurant
3165,I need a reservation for National Coney Island with a party of 8 in NV,O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O O O O B-party_size_number O B-state,BookRestaurant
3166,"Want a table at Monty’s Hotel, Secunderabad in the state of Vermont",O O O O B-restaurant_name I-restaurant_name I-restaurant_name O O O O B-state,BookRestaurant
3167,I need a table at The Middle East in MN for a party of 6,O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state O O O O B-party_size_number,BookRestaurant
3168,Book a table for three at a restarunt in Federal Hill,O O O O B-party_size_number O O O O B-city I-city,BookRestaurant
3169,I need a reservation for an indoor restaurant in China,O O O O O O B-facility B-restaurant_type O B-country,BookRestaurant
3170,book a best steakhouse for 2 in Montserrat on 79 days and a half from now,O O B-sort B-restaurant_type O B-party_size_number O B-country O B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange,BookRestaurant
3171,book a restaurant in AL at Oak Ridge,O O B-restaurant_type O B-state O B-city I-city,BookRestaurant
3172,Book a restaurant for ten people 1 second from now,O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange,BookRestaurant
3173,Book a table for 2 at a nearby restaurant,O O O O B-party_size_number O O B-spatial_relation B-restaurant_type,BookRestaurant
3174,melba and I want to dine in Barbados next Jun,B-party_size_description I-party_size_description I-party_size_description O O O O B-country B-timeRange I-timeRange,BookRestaurant
3175,Book a restaurant 2 months from now for seven people in New Caledonia,O O B-restaurant_type B-timeRange I-timeRange I-timeRange I-timeRange O B-party_size_number O O B-country I-country,BookRestaurant
3176,Book the Boon Brick Store for nine people,O O B-restaurant_name I-restaurant_name I-restaurant_name O B-party_size_number O,BookRestaurant
3177,I need seating at Floating restaurant in Tennessee for a group of 9,O O O O B-restaurant_name I-restaurant_name O B-state O O O O B-party_size_number,BookRestaurant
3178,Book me a table for nine at a bar with parking in Qatar,O O O O O B-party_size_number O O B-restaurant_type O B-facility O B-country,BookRestaurant
3179,Book reservation at The Big Chill Cafe in AR for 10 people,O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-state O B-party_size_number O,BookRestaurant
3180,I need reservations in ND in the city of Briarwood for me and my colleagues,O O O O B-state O O O O B-city O B-party_size_description I-party_size_description I-party_size_description I-party_size_description,BookRestaurant
3181,I want a table for five at a restaurant with latin food in Arkansas for 1 hour from now,O O O O O B-party_size_number O O B-restaurant_type O B-cuisine O O B-state O B-timeRange I-timeRange I-timeRange I-timeRange,BookRestaurant
3182,Book a table at a french restaurant for fern and I,O O O O O B-cuisine B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description,BookRestaurant
3183,Book reservations at a restaurant that serves brazilian food for 9 people,O O O O B-restaurant_type O O B-cuisine O O B-party_size_number O,BookRestaurant
3184,"Book a reservation for a restaurant in Stonewood , GU",O O O O O B-restaurant_type O B-city O B-state,BookRestaurant
3185,I need a table for 4 at The Brass Rail,O O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name,BookRestaurant
3186,Let me get reservations for a party of three at a bar with a pool,O O O O O O O O B-party_size_number O O B-restaurant_type O O B-facility,BookRestaurant
3187,I'd like to eat with a party of nine in Snapfinger PA,O O O O O O O O B-party_size_number O B-city B-state,BookRestaurant
3188,Book a restaurant with wifi for nine people,O O B-restaurant_type O B-facility O B-party_size_number O,BookRestaurant
3189,book in town for 3 at a restaurant outdoor that is not far,O B-poi I-poi O B-party_size_number O O B-restaurant_type B-facility O O B-spatial_relation I-spatial_relation,BookRestaurant
3190,I want to eat somewhere that is faraway from Iowa,O O O O O O O B-spatial_relation O B-state,BookRestaurant
3191,"I need a highly rated oyster bar in AR in a month for jeanne collins, amy and I",O O O B-sort I-sort B-restaurant_type I-restaurant_type O B-state B-timeRange I-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description,BookRestaurant
3192,"I'm hoping to find a table for six at a pub on jul 19, 2029",O O O O O O O B-party_size_number O O B-restaurant_type O B-timeRange I-timeRange I-timeRange,BookRestaurant
3193,set an reservation for a party of eight at the bar on 8/8/2039,O O O O O O O B-party_size_number O O B-restaurant_type O B-timeRange,BookRestaurant
3194,Book a table for 1 somewhere in Andorra,O O O O B-party_size_number O O B-country,BookRestaurant
3195,make a reservation for 9 at a brasserie with parking,O O O O B-party_size_number O O B-restaurant_type O B-facility,BookRestaurant
3196,"I want to book the distant downtown Tribeca Grill for august the twenty-third, 2025 for wilda and jacklyn",O O O O O B-spatial_relation B-poi B-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description,BookRestaurant
3197,please book a restaurant for nine members,O O O B-restaurant_type O B-party_size_number O,BookRestaurant
3198,Book a reservation for a brasserie serving soupe in Tokelau,O O O O O B-restaurant_type O B-served_dish O B-country,BookRestaurant
3199,book a table in Cottondale not far for in two hundred sixty nine days,O O O O B-city B-spatial_relation I-spatial_relation O B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange,BookRestaurant
3200,I want to book a pizza restaurant close to Astor Place for nine at 3 am,O O O O O B-served_dish B-restaurant_type B-spatial_relation O B-poi I-poi O B-party_size_number O B-timeRange I-timeRange,BookRestaurant
3201,I'm looking to book a reservation in Aruba at a place nearby,O O O O O O O B-country O O O B-spatial_relation,BookRestaurant
3202,I need to book a table for claudia and imelda at a brasserie that is top-rated,O O O O O O O B-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O O B-sort,BookRestaurant
3203,I need a reservation for Blue Ribbon Barbecue far from NY for a party of 10,O O O O O B-restaurant_name I-restaurant_name I-restaurant_name B-spatial_relation O B-state O O O O B-party_size_number,BookRestaurant
3204,Book a brasserie restaurant at 18:28 and order wings,O O B-restaurant_type I-restaurant_type O B-timeRange O O B-served_dish,BookRestaurant
3205,I want to book a cafeteria for 4 that has meze,O O O O O B-restaurant_type O B-party_size_number O O B-served_dish,BookRestaurant
3206,book a table for 2 guests at a restaurant in Lazy Mountain NY,O O O O B-party_size_number O O O B-restaurant_type O B-city I-city B-state,BookRestaurant
3207,I need a table in neighboring Carencro at the Bridge Round House,O O O O O B-spatial_relation B-city O O B-restaurant_name I-restaurant_name I-restaurant_name,BookRestaurant
3208,Find a table for 8 somewhere in Bonaire in 345 days,O O O O B-party_size_number O O B-country B-timeRange I-timeRange I-timeRange,BookRestaurant
3209,Get me a table at a bar which has a spa,O O O O O O B-restaurant_type O O O B-facility,BookRestaurant
3210,I need a reservation in 1 second in Atlas with a party of nine,O O O O B-timeRange I-timeRange I-timeRange O B-city O O O O B-party_size_number,BookRestaurant
3211,I'm looking to reserve a table at a pasta restaurant in Serbia,O O O O O O O O B-served_dish B-restaurant_type O B-country,BookRestaurant
3212,Book a cafeteria with wifi,O O B-restaurant_type O B-facility,BookRestaurant
3213,I want a table for 4 in Florida,O O O O O B-party_size_number O B-state,BookRestaurant
3214,book a tea house for 6 members with soul food,O O B-restaurant_type I-restaurant_type O B-party_size_number O O B-cuisine I-cuisine,BookRestaurant
3215,Book a food truck in MP for me and my ex husband,O O B-restaurant_type I-restaurant_type O B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description,BookRestaurant
3216,Book reservation in Gasconade at the best restaurant in DC,O O O B-city O O B-sort B-restaurant_type O B-state,BookRestaurant
3217,book a caucasian serving steakhouse for 4 in Saint Pierre and Miquelon,O O B-cuisine O B-restaurant_type O B-party_size_number O B-country I-country I-country I-country,BookRestaurant
3218,Book a steakhouse with a pool for eight people,O O B-restaurant_type O O B-facility O B-party_size_number O,BookRestaurant
3219,book a spot for one at The Wolseley at elevenses,O O O O B-party_size_number O B-restaurant_name I-restaurant_name O B-timeRange,BookRestaurant
3220,I'd like reservations for me and my grandkid at a top-rated restaurant that serves molise cuisine in PA,O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-sort B-restaurant_type O O B-cuisine O O B-state,BookRestaurant
3221,Book a restaurant in West Hattiesburg for 0 o'clock,O O B-restaurant_type O B-city I-city O B-timeRange I-timeRange,BookRestaurant
3222,book for crepes at a restaurant in Sint Maarten,O O B-served_dish O O B-restaurant_type O B-country I-country,BookRestaurant
3223,I need a table for 5 at the restaurant I ate at last Oct,O O O O O B-party_size_number O O B-restaurant_type O O O B-timeRange I-timeRange,BookRestaurant
3224,book a spot for 6 in Pilot Mound Palau on feb the twenty-fourth,O O O O B-party_size_number O B-city I-city B-state O B-timeRange I-timeRange I-timeRange,BookRestaurant
3225,Book a table for nine at Canteen Lunch in the Alley at Midnight,O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange,BookRestaurant
3226,"I'd like to book at a place in Michigan for a party of 3 , name of the restaurant is Carter House Inn",O O O O O O O O B-state O O O O B-party_size_number O O O O O O B-restaurant_name I-restaurant_name I-restaurant_name,BookRestaurant
3227,Book a restaurant in Palestine for 8 people at 9 AM,O O B-restaurant_type O B-country O B-party_size_number O O B-timeRange I-timeRange,BookRestaurant
3228,I need to reserve a table for me and my mom at the nearest restaurant in the state of MH,O O O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O B-restaurant_type O O O O B-state,BookRestaurant
3229,me and my grandmother want to eat umbrian food on January the 7th at a brasserie,B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O B-cuisine O O B-timeRange I-timeRange I-timeRange O O B-restaurant_type,BookRestaurant
3230,Book a restaurant that serves scampi for 10 people,O O B-restaurant_type O O B-served_dish O B-party_size_number O,BookRestaurant
3231,pizzeria restaurant in Kellnersville HI that is outdoor for ten,B-restaurant_type I-restaurant_type O B-city B-state O O B-facility O B-party_size_number,BookRestaurant
3232,Book a restaurant for ten in Germfask,O O B-restaurant_type O B-party_size_number O B-city,BookRestaurant
3233,Lets go to a steakhouse before we go to the pool,O O O O B-restaurant_type O B-timeRange O O O B-facility,BookRestaurant
3234,I want to bring six of us to a bistro in town that serves hot chicken sandwich that is within the same area,O O O O B-party_size_number O O O O B-restaurant_type B-poi I-poi O O B-served_dish I-served_dish I-served_dish O O B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation,BookRestaurant
3235,"Book a table for josie, carissa and lindsay at a brasserie which serves trentino",O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O O B-cuisine,BookRestaurant
3236,I would like to book a restaurant in Lebanon,O O O O O O B-restaurant_type O B-country,BookRestaurant
3237,"Book a spot for kelli, jean and I at a pub at elevenses",O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-timeRange,BookRestaurant
3238,Restaurant in Durant for 3 PM,B-restaurant_type O B-city O B-timeRange I-timeRange,BookRestaurant
3239,"I need a reservation for Arcadian Court on June the fifth, 2035",O O O O O B-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange I-timeRange,BookRestaurant
3240,book a table for 3 far from Tullytown at a coffeehouse with a smoking room,O O O O B-party_size_number B-spatial_relation O B-poi O O B-restaurant_type O O B-facility I-facility,BookRestaurant
3241,I want to book an ethiopian bar for this Afternoon,O O O O O B-cuisine B-restaurant_type O O B-timeRange,BookRestaurant
3242,Book a restaurant distant from downtown,O O B-restaurant_type B-spatial_relation O B-poi,BookRestaurant
3243,I want to book a restaurant in Barbados that serves creole,O O O O O B-restaurant_type O B-country O O B-cuisine,BookRestaurant
3244,Get me a table for 3 within walking distance from my hotel in Tajikistan,O O O O O B-party_size_number B-spatial_relation I-spatial_relation I-spatial_relation O O O O B-country,BookRestaurant
3245,book a table for 10 at a restaurant in Federated States Of Micronesia,O O O O B-party_size_number O O B-restaurant_type O B-state I-state I-state I-state,BookRestaurant
3246,book a spot for 2 at a restaurant in Mayotte at 06:13 AM,O O O O B-party_size_number O O B-restaurant_type O B-country O B-timeRange I-timeRange,BookRestaurant
3247,I want a table for 2 at a restaurant late at night,O O O O O B-party_size_number O O B-restaurant_type O O B-timeRange,BookRestaurant
3248,I'd like a table for five at any restaurant,O O O O O B-party_size_number O O B-restaurant_type,BookRestaurant
3249,Book a bar that serves stracciatella in North Dakota for four at four am,O O B-restaurant_type O O B-served_dish O B-state I-state O B-party_size_number O B-timeRange I-timeRange,BookRestaurant
3250,I need a reservation for around London Borough,O O O O O B-spatial_relation B-poi I-poi,BookRestaurant
3251,I need to get a restaurant reserved in SD,O O O O O B-restaurant_type O O B-state,BookRestaurant
3252,Book a reservation for Louisiana Fried Chicken this winter in Taiwan,O O O O B-restaurant_name I-restaurant_name I-restaurant_name B-timeRange I-timeRange O B-country,BookRestaurant
3253,Book a table at a bar in Cambodia that serves cheese fries,O O O O O B-restaurant_type O B-country O O B-served_dish I-served_dish,BookRestaurant
3254,Book me a table for seven in neighboring France,O O O O O B-party_size_number O B-spatial_relation B-country,BookRestaurant
3255,I'm looking to get a seat at a brasserie in Togo,O O O O O O O O B-restaurant_type O B-country,BookRestaurant
3256,I would like a table for jacqueline wilson and deanna at David Carpenter House in Uncas FM,O O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name I-restaurant_name O B-city B-state,BookRestaurant
3257,Need a table for a party of eight one hour from now in Exira SD in a pub that serves oysters rockefeller,O O O O O O O B-party_size_number B-timeRange I-timeRange I-timeRange I-timeRange O B-city B-state O O B-restaurant_type O O B-served_dish I-served_dish,BookRestaurant
3258,I need a table for 3 at David Whitney House in Brazil,O O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name O B-country,BookRestaurant
3259,Book reservations at a restaurant in Iron Springs,O O O O B-restaurant_type O B-city I-city,BookRestaurant
3260,I need a reservation for Roscoff Restaurant in Valley Mills,O O O O O B-restaurant_name I-restaurant_name O B-city I-city,BookRestaurant
3261,"make a reservation for hillary, dina chavez and alexis",O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description,BookRestaurant
3262,book at table at Forest Av restaurant close-by for 2 1 second from now,O O O O B-poi I-poi B-restaurant_type B-spatial_relation O B-party_size_number B-timeRange I-timeRange I-timeRange I-timeRange,BookRestaurant
3263,I want to book a bar neighboring our apartment,O O O O O B-restaurant_type B-spatial_relation B-poi I-poi,BookRestaurant
3264,Find a reservation in Hesston NC at a new restaurant,O O O O B-city B-state O O O B-restaurant_type,BookRestaurant
3265,I would like to book a restaurant neighboring Lincoln Beach,O O O O O O B-restaurant_type B-spatial_relation B-city I-city,BookRestaurant
3266,"Book a table at a tavern in Albania for annette, darlene and barbara james for ten AM",O O O O O B-restaurant_type O B-country O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange,BookRestaurant
3267,Reserve a table for my bf and I at Montreal Pool Room in Indiahoma,O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name I-restaurant_name O B-city,BookRestaurant
3268,Book a reservation for a popular bakery in Patetown,O O O O O B-sort B-restaurant_type O B-city,BookRestaurant
3269,Book at table at a brasserie which serves padangnese food,O O O O O B-restaurant_type O O B-cuisine O,BookRestaurant
3270,Can you make reservations at a restaurant that serves mashed pumpkin for six PM,O O O O O O B-restaurant_type O O B-served_dish I-served_dish O B-timeRange I-timeRange,BookRestaurant
3271,book me a restaurant in Guadeloupe,O O O B-restaurant_type O B-country,BookRestaurant
3272,"book a spot for krista, yolanda and I in New Mexico",O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-state I-state,BookRestaurant
3273,I need a table at a brasserie in Belgium,O O O O O O B-restaurant_type O B-country,BookRestaurant
